State,District,Year,Party,Incumbent,Dem Votes,GOP Votes,Other Votes
AK,1,1992,D,0,3019,3002,0
AK,2,1992,D,1,4704,2169,0
AK,3,1992,D,1,5210,2233,0
AK,4,1992,R,1,1754,4538,294
AK,5,1992,D,1,3953,0,1153
AK,6,1992,D,1,3802,0,0
AK,7,1992,R,1,2433,3078,482
AK,8,1992,R,0,2438,2634,524
AK,9,1992,D,1,2561,2343,672
AK,10,1992,R,0,2092,3607,899
AK,11,1992,D,0,2831,2810,262
AK,12,1992,R,1,0,4231,1500
AK,13,1992,R,0,3479,3601,0
AK,14,1992,R,1,2033,2928,0
AK,15,1992,D,1,3459,0,1156
AK,16,1992,D,1,2233,1248,0
AK,17,1992,R,0,1617,2242,1535
AK,18,1992,R,0,2811,3933,862
AK,19,1992,R,0,2513,2847,0
AK,20,1992,R,0,2807,3332,0
AK,21,1992,D,1,3427,2148,0
AK,22,1992,R,1,2082,4287,0
AK,23,1992,R,0,1076,1870,0
AK,24,1992,R,0,2585,3738,0
AK,25,1992,I,0,0,2790,3136
AK,26,1992,D,1,2877,2316,552
AK,27,1992,D,1,3219,2225,672
AK,28,1992,D,0,2875,2098,1077
AK,29,1992,D,0,3803,2469,501
AK,30,1992,D,0,2671,2169,591
AK,31,1992,D,0,2752,2630,0
AK,32,1992,R,0,1608,2317,389
AK,33,1992,R,0,2452,3550,543
AK,34,1992,R,0,2215,4010,0
AK,35,1992,R,0,1651,2167,1922
AK,36,1992,D,0,2756,2012,0
AK,37,1992,D,1,3738,0,0
AK,38,1992,D,1,4045,0,0
AK,39,1992,D,0,3579,0,0
AK,40,1992,I,0,1600,0,1829
AK,1,1994,D,1,2405,1791,1350
AK,2,1994,D,1,3789,0,2235
AK,3,1994,D,0,5186,2711,0
AK,4,1994,D,0,3940,3578,0
AK,5,1994,D,1,3722,0,0
AK,6,1994,R,0,1778,2027,0
AK,7,1994,R,1,2255,2778,670
AK,8,1994,R,1,1826,3017,366
AK,9,1994,D,1,2079,1965,465
AK,10,1994,R,1,0,4103,0
AK,11,1994,R,0,2344,2749,0
AK,12,1994,R,1,0,4289,0
AK,13,1994,R,1,2885,3222,0
AK,14,1994,R,1,1336,2235,0
AK,15,1994,D,1,2651,1527,0
AK,16,1994,D,1,1796,1137,0
AK,17,1994,R,1,1394,3312,0
AK,18,1994,R,1,2383,4447,0
AK,19,1994,R,1,2092,2328,564
AK,20,1994,R,1,2223,2968,0
AK,21,1994,D,1,2589,1939,0
AK,22,1994,R,1,2235,2982,502
AK,23,1994,R,1,0,2009,0
AK,24,1994,R,1,1253,3751,0
AK,25,1994,I,1,0,2576,2722
AK,26,1994,R,0,2442,3210,0
AK,27,1994,R,0,2901,3034,486
AK,28,1994,R,0,1676,2918,1803
AK,29,1994,D,1,3625,2430,0
AK,30,1994,D,1,2444,2050,0
AK,31,1994,R,0,1773,2269,500
AK,32,1994,R,1,1321,1714,0
AK,33,1994,R,1,0,3439,2447
AK,34,1994,R,1,1220,3196,0
AK,35,1994,D,0,2581,2179,0
AK,36,1994,D,1,2765,0,1631
AK,37,1994,I,1,1165,0,3154
AK,38,1994,D,1,3624,0,0
AK,39,1994,D,0,3121,975,0
AK,40,1994,D,1,2071,0,0
AK,1,1996,D,1,3272,3055,0
AK,2,1996,D,1,4246,2551,0
AK,3,1996,D,1,4732,2634,0
AK,4,1996,R,0,3401,3731,0
AK,5,1996,D,0,2878,2512,0
AK,6,1996,R,1,1406,3251,0
AK,7,1996,R,1,3254,3480,0
AK,8,1996,R,1,1511,4103,318
AK,9,1996,R,0,2309,3078,0
AK,10,1996,R,1,1605,5057,0
AK,11,1996,R,1,1328,3902,0
AK,12,1996,R,1,1665,3834,0
AK,13,1996,D,0,3261,3234,0
AK,14,1996,R,1,1315,2944,0
AK,15,1996,D,0,2499,1783,0
AK,16,1996,D,0,1584,1098,350
AK,17,1996,R,0,2081,3231,0
AK,18,1996,R,1,0,5942,0
AK,19,1996,R,1,2536,2818,0
OK,59,1994,D,0,6959,4892,0
OK,60,1994,D,1,100,0,0
OK,61,1994,D,1,100,0,0
OK,62,1994,D,0,100,0,0
OK,63,1994,D,1,100,0,0
OK,64,1994,D,1,4149,2304,0
OK,65,1994,D,1,2816,2630,0
OK,66,1994,D,1,100,0,0
OK,67,1994,R,1,0,100,0
OK,68,1994,D,1,100,0,0
OK,69,1994,R,0,0,100,0
OK,70,1994,R,1,0,100,0
OK,71,1994,R,0,4585,5925,0
OK,72,1994,D,1,100,0,0
OK,73,1994,D,1,100,0,0
OK,74,1994,R,0,5027,5648,0
OK,75,1994,R,1,0,100,0
OK,76,1994,R,1,0,100,0
OK,77,1994,D,1,4529,4286,0
OK,78,1994,R,1,0,100,0
OK,79,1994,R,0,0,100,0
OK,80,1994,R,0,0,100,0
OK,81,1994,R,1,0,100,0
OK,82,1994,R,1,0,100,0
